Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.1812856,0.7346053772766695,-3.670442,-0.2652671755725191,-0.2652671755725191,1.0
20000,2.1284854,1.1258503401360545,-2.0887358,0.12539851222104145,0.12539851222104145,1.0
30000,1.9599044,2.08546744831842,-1.0942862,1.0854674483184203,1.0854674483184203,1.0
40000,1.7706385,3.4184710561201945,-0.6079292,2.418029164825453,2.418029164825453,1.0
50000,1.5622598,5.183446571957999,-0.2998508,4.1778875849289685,4.1778875849289685,1.0
60000,1.3704675,7.3467000835421885,0.03263268,6.35421888053467,6.35421888053467,1.0
70000,1.2245008,9.311340206185568,0.4050725,8.301030927835052,8.301030927835052,1.0
80000,1.1143204,11.274846625766871,0.91484845,10.277300613496932,10.277300613496932,1.0
90000,1.0391247,12.310252996005326,1.3294357,11.315579227696405,11.315579227696405,1.0
100000,0.97858214,13.061884669479607,1.6680738,12.047819971870604,12.047819971870604,1.0
110000,0.9312881,14.755905511811024,1.9066278,13.751181102362205,13.751181102362205,1.0
120000,0.87719375,15.275244299674267,2.2561748,14.270358306188925,14.270358306188925,1.0
130000,0.85625535,15.14516129032258,2.5272822,14.143548387096773,14.143548387096773,1.0
140000,0.82347065,16.106164383561644,2.7003593,15.145547945205479,15.145547945205479,1.0
150000,0.7909346,16.13527397260274,2.8899727,15.101027397260275,15.101027397260275,1.0
160000,0.7489819,16.818181818181817,3.2006319,15.844919786096257,15.844919786096257,1.0
170000,0.7296314,17.343119266055044,3.5248487,16.319266055045873,16.319266055045873,1.0
180000,0.7245231,17.125,3.8399653,16.121376811594203,16.121376811594203,1.0
190000,0.737377,17.273722627737225,4.009022,16.26824817518248,16.26824817518248,1.0
200000,0.7082356,17.722846441947567,4.2997622,16.720973782771537,16.720973782771537,1.0
210000,0.71410984,17.765037593984964,4.498924,16.768796992481203,16.768796992481203,1.0
220000,0.69610023,18.10496183206107,4.7521443,17.125954198473284,17.125954198473284,1.0
230000,0.70092547,17.8135593220339,4.922594,16.811676082862522,16.811676082862522,1.0
240000,0.69241023,18.33783783783784,5.240565,17.326254826254825,17.326254826254825,1.0
250000,0.6928754,17.605214152700185,5.261318,16.60707635009311,16.60707635009311,1.0
260000,0.6955893,17.99810246679317,5.4917,16.98102466793169,16.98102466793169,1.0
270000,0.68317443,18.00190114068441,5.6655207,17.011406844106464,17.011406844106464,1.0
